item_id,date,p10,p50,p90
1456,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
1456,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
1456,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
1456,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
1456,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
2204,2022-11-01T00:00:00Z,-5.1163E-5,-2.06196E-5,6.2488E-6
2204,2022-11-02T00:00:00Z,-4.77466E-5,-2.33093E-5,8.7018E-6
2204,2022-11-03T00:00:00Z,-5.08258E-5,-1.76573E-5,9.0679E-6
2204,2022-11-04T00:00:00Z,-4.58232E-5,-1.62111E-5,1.53472E-5
2204,2022-11-05T00:00:00Z,-3.95112E-5,-1.924E-5,1.82285E-5
4739,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
4739,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
4739,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
4739,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
4739,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
4763,2022-11-01T00:00:00Z,-4.44697E-5,-2.05783E-5,1.31014E-5
4763,2022-11-02T00:00:00Z,-6.04308E-5,-2.42006E-5,4.4482E-6
4763,2022-11-03T00:00:00Z,-4.75412E-5,-1.84299E-5,7.6973E-6
4763,2022-11-04T00:00:00Z,-4.87805E-5,-2.22406E-5,1.26851E-5
4763,2022-11-05T00:00:00Z,-4.54633E-5,-1.38088E-5,1.57627E-5
6451,2022-11-01T00:00:00Z,-5.12899E-5,-2.10356E-5,1.51319E-5
6451,2022-11-02T00:00:00Z,-5.20257E-5,-2.03389E-5,8.2673E-6
6451,2022-11-03T00:00:00Z,-4.67182E-5,-2.03344E-5,1.20643E-5
6451,2022-11-04T00:00:00Z,-4.67007E-5,-1.66267E-5,2.51339E-5
6451,2022-11-05T00:00:00Z,-4.13052E-5,-1.66296E-5,1.03445E-5
9939,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
9939,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
9939,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
9939,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
9939,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
