item_id,date,p10,p50,p90
2365,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
8021,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
4938,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
2491,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
9927,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
1220,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
3032,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
8222,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
2102,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
2115,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
1475,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
3686,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
00900,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
3406,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
2228,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
00693u,2022-10-29T00:00:00Z,-1.06542E-4,-4.66369E-5,4.8555E-6
4142,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
6269,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2613,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2496,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2850,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2546,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
00642u,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
00878,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2423,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2911,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2466,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
3702,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
4967,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2722,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
2241,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
6288,2022-10-29T00:00:00Z,-9.61318E-5,-4.59918E-5,4.591E-6
00686r,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
4414,2022-10-29T00:00:00Z,-0.0016891934,-0.0013944695,-0.0010992279
3017,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
2109,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
4927,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
3027,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
0050,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
1789,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
3030,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
6152,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
1713,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
6591,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
9924,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
2477,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
2301,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
00774b,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
2374,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
1423,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
00643,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
1303,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
4108,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
6592,2022-10-29T00:00:00Z,-8.98736E-5,-3.74941E-5,9.4127E-6
2427,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
2454,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
00757,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
00907,2022-10-29T00:00:00Z,-8.85679E-5,-3.9253E-5,6.215E-6
00661,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
8454,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
910861,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
020031,2022-10-29T00:00:00Z,-8.95095E-5,-3.68438E-5,1.03281E-5
1725,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
9907,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
00669r,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
1517,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
00738u,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
2936,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
6168,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
2338,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
4104,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
1714,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
3044,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
1215,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
6807,2022-10-29T00:00:00Z,-9.67403E-5,-4.0585E-5,1.65737E-5
6271,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
2901,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
5533,2022-10-29T00:00:00Z,-8.91516E-5,-4.03447E-5,4.6543E-6
1503,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
8940,2022-10-29T00:00:00Z,-9.71448E-5,-4.14154E-5,1.53099E-5
2201,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
1733,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
2444,2022-10-29T00:00:00Z,-9.74026E-5,-4.45183E-5,2.00371E-5
