"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"Formosa Index","14,910.05","+","110.89","0.75","",
"TAIEX","13,037.21","+","87.46","0.68","",
"TWSE CG 100 Index","7,398.95","+","38.84","0.53","",
"FTSE TWSE Taiwan 50 Index","9,764.76","+","53.13","0.55","",
"FTSE TWSE Taiwan 50 30% Capped Index","9,455.42","+","55.82","0.59","",
"FTSE TWSE Taiwan Mid-Cap 100 Index","11,692.48","+","128.12","1.11","",
"FTSE TWSE Taiwan Technology Index","16,342.33","+","85.45","0.53","",
"FTSE TWSE Taiwan Eight Industries Index","8,925.21","+","43.96","0.49","",
"FTSE TWSE Taiwan Dividend+ Index","5,485.92","+","13.42","0.25","",
"Taiwan RAFI&reg; EMP 99 Index","8,201.70","+","74.04","0.91","",
"Taiwan HC 100 Index","7,348.04","+","46.55","0.64","",
"Non-Finance Sub-index","11,125.37","+","66.07","0.60","",
"Non-Electronics Sub-index","15,882.48","+","147.10","0.93","",
"Non-Finance Non-Electronics Sub-index","13,158.90","+","105.89","0.81","",
"TWSE TAIEX Small-Cap 300 Sub-index","7,468.88","+","79.65","1.08","",
"Cement and Ceramic","552.11","+","6.88","1.26","",
"Plastic and Chemical","764.18","+","5.41","0.71","",
"Electrical","3,303.16","+","18.06","0.55","",
"Cement","140.67","+","1.45","1.04","",
"Food","1,765.90","+","14.54","0.83","",
"Plastic","228.90","+","0.95","0.42","",
"Textile","556.87","+","7.50","1.37","",
"Electric Machinery","202.42","+","3.85","1.94","",
"Electrical and Cable","88.18","+","2.54","2.97","",
"Chemical, Biotechnology, and Medical Care","100.92","+","1.21","1.21","",
"Chemical","118.31","+","1.43","1.22","",
"Biotechnology and Medical Care","58.73","+","0.69","1.19","",
"Glass and Ceramic","53.51","+","1.31","2.51","",
"Paper and Pulp","290.80","+","1.91","0.66","",
"Iron and Steel","126.24","+","0.72","0.57","",
"Rubber","224.27","+","3.08","1.39","",
"Automobile","309.77","+","2.81","0.92","",
"Electronics","589.10","+","2.89","0.49","",
"Semiconductor","266.62","+","1.38","0.52","",
"Computer and Peripheral Equipment","113.26","+","0.45","0.40","",
"Optoelectronic","30.98","+","0.52","1.71","",
"Communications and Internet","122.65","-","0.62","-0.50","",
"Electronic Parts/Components","142.80","+","1.76","1.25","",
"Electronic Products Distribution","156.70","+","0.20","0.13","",
"Information Service","116.28","+","0.07","0.06","",
"Other Electronic","93.18","-","0.07","-0.08","",
"Building Material and Construction","333.72","+","0.90","0.27","",
"Shipping and Transportation","142.21","-","1.30","-0.91","",
"Tourism","95.75","+","0.21","0.22","",
"Finance and Insurance","1,422.41","+","17.08","1.22","",
"Trading and Consumers' Goods","255.86","+","2.64","1.04","",
"Oil, Gas and Electricity","108.87","+","0.30","0.28","",
"Other","311.99","+","5.75","1.88","",
"TAIEX Leveraged 2X Index","21,368.35","+","284.79","1.35","",
"TAIEX Inverse -1X Index","5,278.24","-","35.89","-0.68","",
"Electronics Leveraged 2X Index","19,230.50","+","187.76","0.99","",
"Electronics Inverse -1X Index","4,915.25","-","24.35","-0.49","",
"Cross-market Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"TIP Taiwan BIO Index","3,759.61","+","103.42","2.83","",
"TIP Taiwan SMCG Index","5,935.66","+","80.12","1.37","",
"TIP Taiwan IPO Index","4,078.39","+","27.96","0.69","",
"TIP TAIFEX Smart Market Neutral Index","3,464.03","-","18.30","-0.53","",
"Taiwan 5G Index","6,388.22","+","38.12","0.60","",
"TIP Taiwan CSR SMC Index","7,217.23","+","60.00","0.84","",
"TIP EVR Index","5,372.36","+","96.15","1.82","",
"Taiwan 5G Plus Communications Index","4,836.17","+","15.16","0.31","",
"TIP TWTM Index","4,391.48","+","33.51","0.77","",
"TIP TWSTM Index","3,896.48","+","35.51","0.92","",
"Taiwan EVAT Sustainability Index","3,548.94","+","27.98","0.79","",
"Taiwan SMEV Index","3,325.48","+","26.43","0.80","",
"TIP IMA 30 Index","3,692.94","+","57.98","1.60","",
"Taiwan GEEV Index","3,891.74","+","43.70","1.14","",
"TIP Taiwan SVSA Index","3,631.32","+","24.37","0.68","",
"TIP TWSTMS30 Index","3,064.36","+","26.72","0.88","",
"TIP Taiwan HD30 Index","3,412.62","+","21.41","0.63","",
"TIP Environmental Sustainability Index","3,942.32","+","28.89","0.74","",
"TIP TWSVI Index","3,700.67","+","32.48","0.89","",
"TIP ICD Index","2,244.42","+","43.48","1.98","",
"TIP ESDP Index","3,594.01","+","11.41","0.32","",
"TIP Environmental Sustainability 50 Index","3,431.33","+","14.78","0.43","",
"TIP Taiwan MSHD30 Index","3,324.74","+","12.07","0.36","",
"TIP ICDR Index","2,682.29","+","46.62","1.77","",
"TIP Green Energy Index","4,172.72","+","80.72","1.97","",
"TIP Taiwan GHD Index","3,300.17","+","12.91","0.39","",
"TIP Taiwan SF 50 Index","3,191.78","+","15.67","0.49","",
"TIP TPCB Index","3,278.25","+","37.76","1.17","",
"TIP Taiwan WM Index","3,581.02","+","25.04","0.70","",
"TIP Taiwan SHD Index","3,334.99","+","3.98","0.12","",
"TIP Taiwan MFHD30 Index","4,326.77","+","25.69","0.60","",
"TIP Taiwan HDR30 Index","3,902.93","+","14.03","0.36","",
"TIP Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"Finance Leveraged 2X Index","22,421.47","+","532.08","2.43","",
"Finance Inverse -1X Index","5,383.86","-","66.24","-1.22","",
