"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
="0050","25","2,487,750","50","4,970,000",
="0051","0","0","0","0",
="0052","0","0","0","0",
="0053","0","0","0","0",
="0055","0","0","0","0",
="0056","2","47,110","0","0",
="0057","0","0","0","0",
="0061","0","0","0","0",
="006203","0","0","0","0",
="006204","0","0","0","0",
="006205","0","0","0","0",
="006206","0","0","0","0",
="006207","0","0","0","0",
="006208","0","0","0","0",
="00625K","0","0","0","0",
="00631L","174","13,567,150","0","0",
="00632R","312","2,035,240","0","0",
="00633L","121","3,841,040","0","0",
="00634R","10","52,300","0","0",
="00635U","10","214,500","0","0",
="00636","0","0","0","0",
="00636K","0","0","0","0",
="00637L","1,212","15,100,210","0","0",
="00638R","0","0","0","0",
="00639","0","0","0","0",
="00640L","47","1,325,320","0","0",
="00641R","0","0","0","0",
="00642U","4","74,840","0","0",
="00643","0","0","0","0",
="00643K","0","0","0","0",
="00645","0","0","0","0",
="00646","0","0","0","0",
="00647L","3","157,800","0","0",
="00648R","0","0","0","0",
="00650L","205","1,713,770","0","0",
="00651R","6","70,450","0","0",
="00652","0","0","0","0",
="00653L","2","94,830","0","0",
="00654R","0","0","48","381,690",
="00655L","60","1,316,480","0","0",
="00656R","0","0","0","0",
="00657","0","0","0","0",
="00657K","0","0","0","0",
="00660","0","0","0","0",
="00661","0","0","0","0",
="00662","0","0","0","0",
="00663L","0","0","0","0",
="00664R","0","0","0","0",
="00665L","431","2,315,880","0","0",
="00666R","0","0","0","0",
="00668","0","0","0","0",
="00668K","0","0","0","0",
="00669R","3","24,690","200","1,646,000",
="00670L","35","1,924,450","0","0",
="00671R","57","365,370","0","0",
="00673R","50","420,000","0","0",
="00674R","0","0","30","434,400",
="00675L","18","563,910","0","0",
="00676R","0","0","0","0",
="00678","0","0","0","0",
="00680L","14","147,780","0","0",
="00681R","0","0","0","0",
="00682U","0","0","0","0",
="00683L","18","452,170","0","0",
="00684R","0","0","0","0",
="00685L","0","0","0","0",
="00686R","0","0","0","0",
="00688L","1","10,450","0","0",
="00689R","0","0","0","0",
="00690","0","0","0","0",
="00692","0","0","44","1,102,430",
="00693U","0","0","0","0",
="00700","0","0","0","0",
="00701","0","0","0","0",
="00702","0","0","0","0",
="00703","0","0","0","0",
="00706L","15","126,940","35","296,250",
="00707R","0","0","0","0",
="00708L","5","102,800","0","0",
="00709","0","0","0","0",
="00710B","0","0","0","0",
="00711B","0","0","0","0",
="00712","22","228,800","0","0",
="00713","0","0","0","0",
="00714","0","0","0","0",
="00715L","81","1,563,230","0","0",
="00717","0","0","0","0",
="00728","0","0","5","99,550",
="00730","0","0","25","375,000",
="00731","0","0","0","0",
="00732","0","0","0","0",
="00733","3","90,840","0","0",
="00735","0","0","0","0",
="00736","0","0","0","0",
="00737","0","0","0","0",
="00738U","0","0","0","0",
